timestamp,close,regime,votes,signal,balance,in_position,position_entry_price
2026-03-10 23:00:00+00:00,69919.16,Neutral,4,CASH,10000.00,False,—
2026-03-10 23:00:00+00:00,69919.16,Neutral,4,CASH,10000.00,False,—
